Individu;Edat;Sexe
1184;44;Home
1185;63;Dona
1186;37;Dona
1187;33;Home
1188;65;Dona
1189;37;Home
1190;77;Dona
1191;51;Dona
1192;42;Home
1193;39;Dona
1194;86;Dona
1195;55;Home
1196;87;Dona
1197;54;Dona
1198;80;Dona
1199;54;Dona
1200;69;Home
1201;66;Dona
1202;41;Home
1203;70;Dona
1204;67;Home
1205;58;Dona
1206;36;Home
1207;76;Home
1208;65;Dona
1209;40;Dona
1210;39;Dona
1211;37;Home
1212;57;Dona
1213;53;Dona
1214;66;Home
1215;66;Dona
1216;42;Dona
1217;39;Dona
1218;34;Dona
1219;72;Home
1220;71;Dona
1221;47;Dona
1222;43;Dona
1223;58;Dona
1224;53;Home
1225;52;Dona
1226;71;Dona
1227;57;Home
1228;57;Dona
1229;69;Home
1230;65;Dona
1231;42;Home
1232;40;Dona
1233;36;Home
1234;80;Dona
1235;48;Dona
1236;47;Home
1237;65;Home
1238;62;Dona
1239;44;Home
1240;43;Home
1241;39;Home
1242;86;Home
1243;53;Dona
1244;85;Home
1245;53;Dona
1246;51;Home
1247;78;Home
1248;71;Dona
1249;50;Dona
1250;48;Home
1251;35;Home
1252;63;Dona
1253;62;Dona
1254;46;Home
1255;69;Dona
1256;49;Dona
1257;60;Home
1258;63;Dona
1259;38;Dona
1260;34;Home
1261;56;Home
1262;53;Dona
1263;92;Dona
1264;93;Dona
1265;52;Home
1266;65;Home
1267;62;Dona
1268;36;Home
1269;75;Home
1270;74;Dona
1271;49;Home
1272;42;Home
1273;79;Dona
1274;81;Dona
1275;56;Home
1276;41;Dona
1277;83;Dona
1278;58;Home
1279;52;Home
1280;77;Home
1281;71;Dona
1282;49;Dona
1283;44;Home
1284;41;Dona
1285;90;Dona
1286;69;Dona
1287;38;Dona
1288;36;Dona
1289;80;Dona
1290;46;Dona
1291;44;Home
1292;42;Home
1293;82;Dona
1294;57;Dona
1295;34;Home
1296;96;Dona
1297;69;Home
1298;59;Home
1299;66;Dona
1300;39;Home
1301;57;Home
1302;75;Home
1303;42;Dona
1304;40;Home
1305;64;Home
1306;64;Dona
1307;39;Home
1308;35;Home
1309;88;Home
1310;85;Dona
1311;58;Home
1312;47;Home
1313;77;Home
1314;75;Dona
1315;48;Dona
1316;47;Home
1317;79;Dona
1318;51;Home
1319;46;Dona
1320;88;Dona
1321;53;Dona
1322;68;Home
1323;65;Dona
1324;42;Dona
1325;39;Dona
1326;57;Dona
1327;77;Home
1328;70;Dona
1329;48;Dona
1330;58;Dona
1331;56;Home
1332;55;Dona
1333;34;Dona
1334;88;Home
1335;86;Dona
1336;53;Dona
1337;81;Home
1338;85;Dona
1339;46;Home
1340;47;Dona
1341;83;Dona
1342;48;Home
1343;52;Dona
1344;60;Home
1345;60;Dona
1346;66;Home
1347;67;Dona
1348;45;Home
1349;41;Home
1350;39;Home
1351;61;Home
1352;59;Dona
1353;33;Home
1354;58;Home
1355;61;Home
1356;60;Dona
1357;35;Home
1358;83;Home
1359;83;Dona
1360;54;Home
1361;52;Dona
1362;46;Dona
1363;84;Dona
1364;71;Dona
1365;96;Dona
1366;84;Dona
1367;49;Dona
1368;53;Home
1369;51;Home
1370;47;Dona
1371;40;Home
1372;75;Home
1373;68;Home
1374;67;Dona
1375;41;Home
1376;38;Home
1377;68;Dona
1378;46;Home
1379;41;Home
1380;38;Home
1381;36;Dona
1382;75;Dona
1383;50;Home
1384;38;Dona
1385;69;Home
1386;80;Home
1387;76;Dona
1388;45;Dona
1389;63;Home
1390;61;Dona
1391;91;Dona
1392;77;Home
1393;74;Dona
1394;50;Dona
1395;44;Home
1396;46;Home
1397;40;Dona
1398;38;Dona
1399;87;Dona
1400;57;Dona
1401;48;Dona
1402;70;Home
1403;63;Dona
1404;44;Dona
1405;42;Home
1406;34;Home
1407;48;Dona
1408;46;Dona
1409;38;Dona
1410;54;Dona
1411;82;Home
1412;81;Dona
1413;57;Dona
1414;75;Home
1415;70;Dona
1416;49;Home
1417;47;Home
1418;45;Home
1419;42;Home
1420;39;Home
1421;74;Home
1422;72;Dona
1423;46;Home
1424;77;Home
1425;68;Dona
1426;47;Home
1427;46;Home
1428;44;Dona
1429;43;Dona
1430;73;Dona
1431;46;Dona
1432;44;Home
1433;39;Home
1434;60;Home
1435;82;Dona
1436;61;Home
1437;55;Home
1438;49;Dona
1439;42;Dona
1440;37;Dona
1441;73;Home
1442;66;Dona
1443;43;Home
1444;40;Home
1445;63;Home
1446;65;Home
1447;72;Dona
1448;72;Dona
1449;80;Dona
1450;57;Home
